1e-08	4.4076e+06
1.25893e-08	3.50961e+06
1.58489e-08	2.79367e+06
1.99526e-08	2.22183e+06
2.51189e-08	1.7658e+06
3.16228e-08	1.40281e+06
3.98107e-08	1.11426e+06
5.01187e-08	885050
6.30957e-08	703001
7.94328e-08	558408
1e-07	443556
1.25893e-07	352328
1.58489e-07	279863
1.99526e-07	222303
2.51189e-07	176581
3.16228e-07	140263
3.98107e-07	111415
5.01187e-07	88499.9
6.30957e-07	70297.9
7.94328e-07	55839.6
1e-06	44354.9
1.25893e-06	35232.4
1.58489e-06	27986.1
1.99526e-06	22230.1
2.51189e-06	17658
3.16228e-06	14026.2
3.98107e-06	11141.4
5.01187e-06	8849.96
6.30957e-06	7029.77
7.94328e-06	5583.94
1e-05	4435.48
1.25893e-05	3523.22
1.58489e-05	2798.59
1.99526e-05	2223
2.51189e-05	1765.78
3.16228e-05	1402.61
3.98107e-05	1114.13
5.01187e-05	884.98
6.30957e-05	702.961
7.94328e-05	558.378
0.0001	443.532
0.000125893	352.306
0.000158489	279.843
0.000199526	222.284
0.000251189	176.563
0.000316228	140.245
0.000398107	111.397
0.000501187	88.4823
0.000630957	70.2804
0.000794328	55.8221
0.001	44.3375
0.00125893	35.2149
0.00158489	27.9686
0.00199526	22.2127
0.00251189	17.6406
0.00316228	14.0088
0.00398107	11.124
0.00501187	8.83253
0.00630957	7.01234
0.00794328	5.56651
0.01	4.41805
0.0125893	3.50579
0.0158489	2.78116
0.0199526	2.20557
0.0251189	1.74836
0.0316228	1.38518
0.0398107	1.0967
0.0501187	0.867552
0.0630957	0.685534
0.0794328	0.540951
0.1	0.426106
0.125893	0.334881
0.158489	0.262421
0.199526	0.204866
0.251189	0.159154
0.316228	0.122853
0.398107	0.0940355
0.501187	0.0711762
0.630957	0.0530722
0.794328	0.0387818
1	0.0275747
1.25893	0.018892
1.58489	0.0123081
1.99526	0.00749192
2.51189	0.00416288
3.16228	0.00204898
3.98107	0.000859894
5.01187	0.000293409
6.30957	7.67966e-05
7.94328	1.43637e-05
10	1.7599e-06
12.5893	1.26779e-07
15.8489	4.68762e-09
19.9526	7.49461e-11
25.1189	4.17252e-13
31.6228	6.15407e-16
39.8107	1.70291e-19
50.1187	5.72131e-24
63.0957	1.34847e-29
79.4328	1.11705e-36
100	1.36193e-45
